scenario,effective_path_m,clear_sky_snr_db,outage_penalty,improved_utility,baseline_utility,baseline,utility_delta
L800_SNR18_A8,800.0,18.0,8.0,1.1349355847227207,1.121647000811077,TFT Policy,0.01328858391164367
L800_SNR18_A12,800.0,18.0,12.0,1.0038335011822153,1.0041197879827883,TFT Policy,-0.00028628680057307676
L800_SNR20_A4,800.0,20.0,4.0,1.8676689969135996,1.8633864543080079,TFT Policy,0.004282542605591688
L800_SNR20_A8,800.0,20.0,8.0,1.6213925148106303,1.615271665512991,TFT Policy,0.00612084929763923
L800_SNR20_A12,800.0,20.0,12.0,1.4791932035661017,1.4695439296509654,TFT Policy,0.00964927391513637
L800_SNR22_A4,800.0,22.0,4.0,2.377471465125268,2.3749558849672288,TFT Policy,0.00251558015803921
L800_SNR22_A8,800.0,22.0,8.0,2.1267391599997936,2.1143115600266884,TFT Policy,0.012427599973105163
L800_SNR22_A12,800.0,22.0,12.0,1.964751037883919,1.9591794568233296,TFT Policy,0.0055715810605894145
L300_SNR18_A4,300.0,18.0,4.0,2.4897954401586926,2.4886624680672527,PatchTST Policy,0.001132972091439921
L300_SNR18_A8,300.0,18.0,8.0,2.3966607036935352,2.3942771727871457,PatchTST Policy,0.0023835309063895416
L300_SNR18_A12,300.0,18.0,12.0,2.334602183719737,2.329758946631902,PatchTST Policy,0.004843237087834851
L300_SNR20_A4,300.0,20.0,4.0,2.953978631659362,2.9450175145338933,PatchTST Policy,0.008961117125468654
L300_SNR20_A8,300.0,20.0,8.0,2.839301303456333,2.8331195232064235,PatchTST Policy,0.006181780249909341
L300_SNR20_A12,300.0,20.0,12.0,2.7704657566437825,2.765447631020543,PatchTST Policy,0.0050181256232395555
L300_SNR22_A4,300.0,22.0,4.0,3.767766067746693,3.766152803112482,PatchTST Policy,0.0016132646342112977
L300_SNR22_A8,300.0,22.0,8.0,3.674393330203714,3.674491608951436,PatchTST Policy,-9.827874772216916e-05
L300_SNR22_A12,300.0,22.0,12.0,3.623093317173238,3.6160218699112203,PatchTST Policy,0.007071447262017472
L500_SNR18_A4,500.0,18.0,4.0,1.9920934322333366,1.98851657111671,PatchTST Policy,0.003576861116626473
L500_SNR18_A8,500.0,18.0,8.0,1.7997145370130676,1.797998317960943,PatchTST Policy,0.0017162190521247123
L500_SNR18_A12,500.0,18.0,12.0,1.685140260087882,1.6760338574075675,PatchTST Policy,0.009106402680314485
L500_SNR20_A4,500.0,20.0,4.0,2.4801296975757428,2.4776755524807337,PatchTST Policy,0.002454145095009075
L500_SNR20_A8,500.0,20.0,8.0,2.3627220409419896,2.3566081672851196,PatchTST Policy,0.006113873656869995
L500_SNR20_A12,500.0,20.0,12.0,2.2826757266237423,2.2769687317863982,PatchTST Policy,0.005706994837344048
L500_SNR22_A4,500.0,22.0,4.0,3.2099906645538074,3.2046709046696433,PatchTST Policy,0.00531975988416411
L500_SNR22_A8,500.0,22.0,8.0,3.0028187441982785,2.9954373869300595,PatchTST Policy,0.007381357268219091
L500_SNR22_A12,500.0,22.0,12.0,2.869182244402254,2.858807468291922,PatchTST Policy,0.010374776110332107
L800_SNR18_A4,800.0,18.0,4.0,1.3419765452726178,1.3312891818915946,PatchTST Policy,0.010687363381023163
L800_SNR18_A8,800.0,18.0,8.0,1.1349355847227207,1.123879522647093,PatchTST Policy,0.011056062075627704
L800_SNR18_A12,800.0,18.0,12.0,1.0038335011822153,0.9927329758484188,PatchTST Policy,0.011100525333796463
L800_SNR20_A4,800.0,20.0,4.0,1.8676689969135996,1.8620438532991306,PatchTST Policy,0.005625143614468975
L800_SNR20_A8,800.0,20.0,8.0,1.6213925148106303,1.615768065809323,PatchTST Policy,0.005624449001307319
L800_SNR20_A12,800.0,20.0,12.0,1.4791932035661017,1.4750864964511134,PatchTST Policy,0.004106707114988284
L800_SNR22_A4,800.0,22.0,4.0,2.377471465125268,2.3697139296587872,PatchTST Policy,0.007757535466480725
L800_SNR22_A8,800.0,22.0,8.0,2.1267391599997936,2.110079346721461,PatchTST Policy,0.016659813278332436
L800_SNR22_A12,800.0,22.0,12.0,1.964751037883919,1.9513896174175487,PatchTST Policy,0.013361420466370344
L300_SNR18_A4,300.0,18.0,4.0,2.4897954401586926,2.4847067462863244,Persistence Policy,0.005088693872368211
L300_SNR18_A8,300.0,18.0,8.0,2.3966607036935352,2.3882997042894334,Persistence Policy,0.008360999404101843
